date,util,kind,scenario
2015-01-19,1.0875642106995842,comm,S2_fb2p0
2015-01-20,1.0781755691678283,comm,S2_fb2p0
2015-01-21,1.0782074666422523,comm,S2_fb2p0
2015-01-22,1.0775908690671443,comm,S2_fb2p0
2015-01-23,1.0797540197521855,comm,S2_fb2p0
2015-01-26,1.2354484667429344,comm,S2_fb2p0
2015-01-27,1.2446891833283016,comm,S2_fb2p0
2015-01-28,1.312795136487309,comm,S2_fb2p0
2015-01-29,1.3068671973247112,comm,S2_fb2p0
2015-01-30,1.2804236861124412,comm,S2_fb2p0
2015-02-02,1.256336915315669,comm,S2_fb2p0
2015-02-03,1.2935909654505149,comm,S2_fb2p0
2015-02-04,1.3247141277053238,comm,S2_fb2p0
2015-02-05,1.2979342406033205,comm,S2_fb2p0
2015-02-06,1.3316201067382674,comm,S2_fb2p0
2015-02-09,1.2442446693487306,comm,S2_fb2p0
2015-02-10,1.2364841513744935,comm,S2_fb2p0
2015-02-11,1.2265796514864689,comm,S2_fb2p0
2015-02-12,1.2150054969606583,comm,S2_fb2p0
2015-02-13,1.2523417366205736,comm,S2_fb2p0
2015-02-16,1.1333325662425695,comm,S2_fb2p0
2015-02-17,1.123790140830201,comm,S2_fb2p0
2015-02-25,0.9616634143383612,comm,S2_fb2p0
2015-02-26,0.9719092675697341,comm,S2_fb2p0
2015-02-27,0.9663979497886425,comm,S2_fb2p0
2015-03-09,0.975653330655743,comm,S2_fb2p0
2015-03-10,1.0163993976893388,comm,S2_fb2p0
2015-03-11,1.0085520170506719,comm,S2_fb2p0
2015-03-12,1.0247790878420184,comm,S2_fb2p0
2015-03-13,1.0305856743477926,comm,S2_fb2p0
2015-03-16,1.3138834980592697,comm,S2_fb2p0
2015-03-17,1.3133880280395578,comm,S2_fb2p0
2015-03-18,1.2888363227951694,comm,S2_fb2p0
2015-03-19,1.303324942784275,comm,S2_fb2p0
2015-03-20,1.3088037021151757,comm,S2_fb2p0
2015-03-23,1.2370114942316979,comm,S2_fb2p0
2015-03-24,1.3249477806961893,comm,S2_fb2p0
2015-03-25,1.2705341381822424,comm,S2_fb2p0
2015-03-26,1.2621018178678194,comm,S2_fb2p0
2015-03-27,1.2324062661263018,comm,S2_fb2p0
2015-03-30,1.0082196746557206,comm,S2_fb2p0
2015-03-31,0.9909788555661027,comm,S2_fb2p0
2015-04-01,0.9698334583990671,comm,S2_fb2p0
2015-04-02,0.9547211851645547,comm,S2_fb2p0
2015-04-03,0.9504252484515586,comm,S2_fb2p0
2015-04-07,0.9371457666291755,comm,S2_fb2p0
2015-04-08,0.9210584376762796,comm,S2_fb2p0
2015-04-09,0.9025681964586334,comm,S2_fb2p0
2015-04-10,0.8914139639742292,comm,S2_fb2p0
2015-04-13,1.2460518715150009,comm,S2_fb2p0
2015-04-14,1.2825018707830929,comm,S2_fb2p0
2015-04-15,1.292888160462425,comm,S2_fb2p0
2015-04-16,1.3009988855375694,comm,S2_fb2p0
2015-04-17,1.27722212985535,comm,S2_fb2p0
2015-04-20,1.0774077082166358,comm,S2_fb2p0
2015-04-21,1.0979902022997559,comm,S2_fb2p0
2015-04-22,1.1343937944243339,comm,S2_fb2p0
2015-04-23,1.159118284403138,comm,S2_fb2p0
2015-04-24,1.195937980323077,comm,S2_fb2p0
2015-04-27,1.3435934346786196,comm,S2_fb2p0
2015-04-28,1.3266964956375622,comm,S2_fb2p0
2015-04-29,1.269175239093926,comm,S2_fb2p0
2015-04-30,1.2633695229104671,comm,S2_fb2p0
2015-05-04,1.3438332661864278,comm,S2_fb2p0
2015-05-05,1.317082160328145,comm,S2_fb2p0
2015-05-06,1.3296768861306543,comm,S2_fb2p0
2015-05-07,1.2717266762518318,comm,S2_fb2p0
2015-05-08,1.2663524737348297,comm,S2_fb2p0
2015-05-11,1.172896290087601,comm,S2_fb2p0
2015-05-12,1.147330927166287,comm,S2_fb2p0
2015-05-13,1.138211498076817,comm,S2_fb2p0
2015-05-14,1.1166968610885852,comm,S2_fb2p0
2015-05-15,1.1161990647575402,comm,S2_fb2p0
2015-05-25,0.838675926406054,comm,S2_fb2p0
2015-05-26,0.8566694992420162,comm,S2_fb2p0
2015-05-27,0.8559867463480849,comm,S2_fb2p0
2015-05-28,0.8661233513537643,comm,S2_fb2p0
2015-05-29,0.8602289705681153,comm,S2_fb2p0
2015-06-01,0.879595631729615,comm,S2_fb2p0
2015-06-02,0.8758524046987907,comm,S2_fb2p0
2015-06-03,0.8890354341829437,comm,S2_fb2p0
2015-06-04,0.8894481945464378,comm,S2_fb2p0
2015-06-05,0.9084124866325844,comm,S2_fb2p0
2015-06-08,1.2884396679586563,comm,S2_fb2p0
2015-06-09,1.2996522236518324,comm,S2_fb2p0
2015-06-10,1.3034162590966136,comm,S2_fb2p0
2015-06-11,1.2810907431654643,comm,S2_fb2p0
2015-06-12,1.2259446812314068,comm,S2_fb2p0
2015-06-15,1.2686298800069653,comm,S2_fb2p0
2015-06-16,1.2518641190789592,comm,S2_fb2p0
2015-06-17,1.2446647882363422,comm,S2_fb2p0
2015-06-18,1.2399702911439603,comm,S2_fb2p0
2015-06-19,1.2581505743239731,comm,S2_fb2p0
2015-06-23,1.307927636017697,comm,S2_fb2p0
2015-06-24,1.2953107697183188,comm,S2_fb2p0
2015-06-25,1.2918406884179237,comm,S2_fb2p0
2015-06-26,1.2966688730417344,comm,S2_fb2p0
2015-06-29,1.2735370009203522,comm,S2_fb2p0
2015-06-30,1.1947975140413074,comm,S2_fb2p0
2015-07-01,1.1920987637835039,comm,S2_fb2p0
2015-07-02,1.2166079591316834,comm,S2_fb2p0
2015-07-03,1.2297418640404583,comm,S2_fb2p0
2015-07-06,1.219733127639332,comm,S2_fb2p0
2015-07-07,1.168509002776677,comm,S2_fb2p0
2015-07-08,1.081146549396497,comm,S2_fb2p0
2015-07-09,1.125874916722447,comm,S2_fb2p0
2015-07-10,1.1920024436800887,comm,S2_fb2p0
2015-07-13,0.7318829332059232,comm,S2_fb2p0
2015-07-14,0.740805269813529,comm,S2_fb2p0
2015-07-15,0.7332803777729855,comm,S2_fb2p0
2015-07-16,0.729307697906197,comm,S2_fb2p0
2015-07-17,0.7303982747521924,comm,S2_fb2p0
2015-07-20,0.7038492171659492,comm,S2_fb2p0
2015-07-21,0.7254668493150734,comm,S2_fb2p0
2015-07-22,0.7600405548969167,comm,S2_fb2p0
2015-07-23,0.7435935845512018,comm,S2_fb2p0
2015-07-24,0.746421362823935,comm,S2_fb2p0
2015-07-27,0.7651693994427621,comm,S2_fb2p0
2015-07-28,0.7547294118521182,comm,S2_fb2p0
2015-07-29,0.7766985753234639,comm,S2_fb2p0
2015-07-30,0.7688743091737027,comm,S2_fb2p0
2015-07-31,0.7635598811625092,comm,S2_fb2p0
2015-08-03,0.7860423790979297,comm,S2_fb2p0
2015-08-04,0.7692067650005842,comm,S2_fb2p0
2015-08-05,0.7836384074454633,comm,S2_fb2p0
2015-08-06,0.7713814847375376,comm,S2_fb2p0
2015-08-07,0.7550974752502154,comm,S2_fb2p0
2015-08-10,0.9302797066861503,comm,S2_fb2p0
2015-08-11,0.9640614458773786,comm,S2_fb2p0
2015-08-12,0.9614743485967179,comm,S2_fb2p0
2015-08-13,0.99323372769303,comm,S2_fb2p0
2015-08-14,0.9816797979207659,comm,S2_fb2p0
2015-08-17,1.0127795647493516,comm,S2_fb2p0
2015-08-18,1.0014377959421765,comm,S2_fb2p0
2015-08-19,0.9830053704168537,comm,S2_fb2p0
2015-08-20,0.9846068919224005,comm,S2_fb2p0
2015-08-21,0.9886660269526272,comm,S2_fb2p0
2015-08-24,1.0943482374051972,comm,S2_fb2p0
2015-08-25,1.0663256616529453,comm,S2_fb2p0
2015-08-26,1.0736439123288375,comm,S2_fb2p0
2015-08-27,1.0661307732842948,comm,S2_fb2p0
