run,口径,framework_commission,recomputed_commission,difference,abs_mean_per_fill_diff,max_abs_per_fill_diff
v3_formal_baseline,千分数/1000,1272704.64936,1745313.208799998,472608.5594399981,131.13348380538665,12311.787599999998
v3_formal_baseline,万分数/10000(框架现行),1272704.64936,1241258.5258800015,-31446.123479998438,21.651580477845357,5778.0
v4_2_S1,千分数/1000,3998743.66425,5396437.422600001,1397693.7583500012,222.90553826007329,36372.93659999999
v4_2_S1,万分数/10000(框架现行),3998743.66425,3856445.2422599997,-142298.42199000018,34.87230500732601,6444.0
