run,equity_step_resid,net_eq_gross_minus_fees_resid,cum_net_eq_terminal_resid,first_day_resid,ending_equity,dates
v3_formal_baseline,3.725290298461914e-09,0.0,3.725290298461914e-08,0.0,55639975.350639954,2834
v4_2_S1,8.381903171539307e-09,0.0,0.0,0.0,118575796.33574975,2834
