,repo,sina
2017-01-18,5.8380524257106714e-05,0.000517598343685366
2017-01-19,0.0029772329246935403,0.0030005173305740485
2017-01-20,0.003201210639659946,0.0030431194553333096
2017-01-23,-0.0007542353214202713,-0.0015426543939940363
2017-01-24,-0.009406026824595015,-0.008394705670288882
2017-01-25,-0.0034581794736533444,-0.017347044769917996
2017-01-26,-0.0038818962475002383,-0.0034883720930232176
2017-02-03,-0.009152102031176113,-0.008221067147554773
2017-02-06,-0.001549371312794312,-0.0013904486870957022
2017-02-07,0.003760071620412031,0.0033738552990951742
2017-02-08,0.005946010227137588,0.005337318531170032
2017-02-09,0.0043740394845726005,0.003928647271182806
2017-02-10,-0.0022951977401128865,-0.0020624008461130883
2017-02-13,0.004659942193122157,0.004186317630226144
2017-02-14,-0.002994363550962831,-0.0026912928759893484
2017-02-15,-0.0022377951828513876,-0.0020106883962114352
2017-02-16,0.009915599362568583,0.00890726896771099
2017-02-17,-0.00029220968967325067,-0.0002627568448156925
2017-02-20,0.005904361042908812,0.005309083263246306
2017-02-21,-0.006567094787005234,-0.005908496732026092
2017-02-22,0.006552006552006606,0.00589101620029453
2017-02-23,-0.00011623852144604374,-0.00010458063166707277
2017-02-24,0.0005231341548477264,0.00047066206463752813
2017-02-27,-0.0010457212571893804,-0.0009408812921436471
2017-02-28,0.0030822913637684746,0.0027729817401769274
2017-03-01,-0.00759508348794069,-0.006835020348533893
2017-03-02,-0.0007010574282877435,-0.0006304176516942483
2017-03-03,-0.0016369482607424546,-0.001471902433895833
2017-03-06,-0.0004684663582595894,-0.0004211634640693962
2017-03-07,0.0025777725701563448,0.0023173750460840914
2017-03-08,-0.0056097703500263,-0.005044401240081986
2017-03-09,-0.0014691191161779749,-0.0013203063110641677
2017-03-10,0.0015889830508475367,0.0014278159703859927
2017-03-13,0.009342499559316098,0.008396261287426654
2017-03-14,0.0008149959250203231,0.0007331378299120228
2017-03-15,0.0013959981386693077,0.0012558869701726483
2017-03-16,0.007957713754646933,0.007160029267272883
2017-03-17,-0.0008644038494785011,-0.0007783716465155077
2017-03-20,0.0009805052485869492,0.0008828417116741871
2017-03-21,0.0024776721405934676,0.0022311005032948916
2017-03-22,0.0,0.0
2017-03-23,0.0013794689044719366,0.00124249326982806
2017-03-24,0.007060039031109966,0.006359875904860424
2017-03-27,-5.6996295240807626e-05,-5.1379540666807166e-05
2017-03-28,-0.004559963520291865,-0.004110574452779847
2017-03-29,-5.7260650480950304e-05,-5.159426271794665e-05
2017-03-30,-0.0006299032239592828,-0.0005675661730561998
2017-03-31,-0.0001146000458399632,-0.00010325245224562796
2017-04-05,-0.0034383954154727503,-0.0030978934324659146
2017-04-06,0.0031052328924667805,0.002796768178993103
2017-04-07,0.0040128410914928025,0.003615328994938549
2017-04-10,-0.0037113166609570314,-0.0033449979415397513
2017-04-11,0.0011461974898276939,0.0010326844632624343
2017-04-12,-0.0018890606216727113,-0.001702171558260801
2017-04-13,0.0015485203028218208,0.001395060452619612
2017-04-14,-0.0047529061444197,-0.004282544760332296
2017-04-17,-0.004890678941311788,-0.0044046015131101734
2017-04-18,0.0009829430471235412,0.0008848175714359918
2017-04-19,0.0014440850277264161,0.0013000520020800543
2017-04-20,-0.0005768010613140806,-0.0005193456245132788
2017-04-21,-0.004501644831765517,-0.004053000779423277
2017-04-24,-0.005159719404023377,-0.004643397506130298
2017-04-25,0.00571095571095559,0.00513680679316475
2017-04-26,0.0005794414184727703,0.0005214851898207584
2017-04-27,0.0019110493398193373,0.001720004169706968
2017-04-28,-0.0021386047049303247,-0.0019251782090640157
2017-05-02,-0.001563948100092527,-0.0014075695964965718
2017-05-03,-0.0012763241863432695,-0.001148525189245575
2017-05-04,-0.00563462097008427,-0.005069774734751453
2017-05-05,0.000642598434396513,0.0005778524900188486
2017-05-08,-0.00461206141631143,-0.00414763479813085
2017-05-09,-0.0013489736070381175,-0.001476170392239573
2017-05-10,-0.00428730839255298,-0.0046990496304119
2017-05-11,0.007844756399669528,0.000636571004190678
2017-05-12,-0.0037455375431614257,-0.003392885543126667
2017-05-15,0.006109381425130733,0.005532209160061585
2017-05-16,-0.0022187189817247654,-0.002010262921229411
2017-05-17,0.001404412194979221,0.0012721971905644835
2017-05-18,0.0030386256062642225,0.002752924982794225
2017-05-19,-0.0005243227497815361,-0.00047515970645695127
2017-05-22,-0.006703194217766439,-0.006074371434608095
2017-05-23,-0.00023472800891966017,-0.0002125737365148428
2017-05-24,0.0028173974291250126,0.00255142720459256
2017-05-25,0.0010535557506583526,0.0009543502465403364
2017-05-26,-0.0011109162135297668,-0.0010064092377773948
2017-05-31,0.004799812690236438,0.004347826086956497
2017-06-01,0.0011650937900502534,0.001055854714391291
2017-06-02,-0.000349121377865691,-0.00031642231832085255
2017-06-05,0.0026775320139698078,0.0024266722937329455
2017-06-06,-0.002031812376640074,-0.0018419113777498053
2017-06-07,0.0012215694258623788,0.0011071861654452508
2017-06-08,-0.0009295840111549492,-0.0008426374552348292
2017-06-09,0.0011049081181671028,0.001001475859160772
2017-06-12,0.004472843450479269,0.0040545521562846965
2017-06-13,0.0010987739995373946,0.0009964338158170438
2017-06-14,0.0010398012824215375,0.0009430502436214017
2017-06-15,-0.0010964279531421317,-0.000994504056529677
2017-06-16,-0.0009820912767187773,-0.0008907052289637285
2017-06-19,0.006765743364367083,0.00613561277466057
2017-06-20,-0.001091326823664751,-0.0009903054310436143
2017-06-21,-0.00402507043873257,-0.0036521103980799996
2017-06-22,-0.0030021361353270715,-0.002722940776038185
2017-06-23,0.0022583820719208614,0.0020477815699659896
2017-06-26,0.0038132655419458317,0.003458394466568926
2017-06-27,-0.0005180154253482394,-0.0004699738903394257
2017-06-28,-0.0013820904117478605,-0.0012538529857374359
2017-06-29,-0.00196067124156607,-0.0017785217345817061
2017-06-30,-0.0016178424914774503,-0.0014672745375464702
2017-07-03,-0.0043405289657966195,-0.003935974809761267
2017-07-04,0.0011043943269006817,0.0010010537407798559
2017-07-05,0.0027869709109911156,0.002526448760461042
2017-07-06,0.0013317121185802971,0.0012075392450254796
2017-07-07,-0.002717705562622852,-0.0024646040901940003
2017-07-10,-0.00023192439264796416,-0.000210271776270754
2017-07-11,0.0011018964217364147,0.0009990009990010762
2017-07-12,0.0009268914378404158,0.0008404244143291884
2017-07-13,0.001562680865841104,0.0014170252965257646
2017-07-14,-0.0001155735336608732,-0.00010481630941783227
2017-07-17,0.00017338033866964864,0.00015724094554214751
2017-07-18,-0.003178088524211198,-0.0028822974530970935
2017-07-19,-0.00040577357834337136,-0.0003678982498556138
2017-07-20,0.0027835768963118124,0.002523659305993853
2017-07-21,-0.001387925052047212,-0.0012586532410321372
2017-07-24,0.0013319434792680163,0.0012077294685990392
2017-07-25,-0.0024868428662309094,-0.002255205328578036
2017-07-26,-0.003130797773654992,-0.0028385197645081073
2017-07-27,0.002326392927765486,0.0021085925144965767
2017-07-28,-0.0010444470233260672,-0.0009468700683851194
2017-07-31,-0.003194702602230426,-0.0028959561920808286
2017-08-01,-0.0015733348872444264,-0.001425780218619721
2017-08-02,0.001108906268238563,0.001004759386567855
2017-08-03,0.0008744825977964332,0.0007924348882666354
2017-08-04,0.00023299161230183607,0.00021114864864868466
2017-08-07,-0.00413463778243639,-0.0037470973189781542
2017-08-08,0.0005847611250804352,0.0007416432695872555
2017-08-09,-0.00011688387586938909,0.0005293526017680072
2017-08-10,0.0016950143199485623,-0.00015872176075337752
2017-08-11,0.0018671957054499089,0.001693300878399917
2017-08-14,0.0034944670937682165,0.0031695721077653616
2017-08-15,0.00029019152640730184,0.0002632964718272124
2017-08-16,-0.0006382361473744602,-0.00031587259805210266
2017-08-17,0.00040640966093818953,0.00010532413502550853
2017-08-18,-0.0004062445592246666,-0.0003685956505712351
2017-08-21,-0.001103111936832324,-0.0010008428150021231
2017-08-22,-0.00011624527753562042,-0.00010545742156609084
2017-08-23,-0.0008719409405336664,-0.0007910140800506671
2017-08-24,-0.0005236211310216676,-0.0004749841671944921
2017-08-25,-0.0009895803015308458,-0.0008976186704682254
2017-08-28,-0.0012236336091364652,-0.0011098192580065724
2017-08-29,0.0020418878711860877,0.0018517538754565521
2017-08-30,0.0010479739170934366,0.000950570342205248
2017-08-31,0.0009305571711062388,0.0008441489922972334
2017-09-01,-0.0014526438117373752,-0.0013178703215603882
2017-09-04,-0.00034914169333721823,-0.0003167062549485067
2017-09-05,-0.0023284242388962317,-0.002112043930513674
2017-09-06,0.0025088978353462466,0.002275252658870741
2017-09-07,0.003317425212431724,0.0030091859360152906
2017-09-08,0.0018562561633506114,0.0016842991736407686
2017-09-11,-0.001273811591685492,-0.0011560086175187445
2017-09-12,0.0009855643805436465,0.0008943132200536219
2017-09-13,-0.0015637669408083976,-0.001419110690633829
2017-09-14,0.004582632403271614,0.004158113584925571
2017-09-15,-0.0004042037186742231,-0.00036691477094030756
2017-09-18,-0.0031771705851770804,-0.002883959939174674
2017-09-19,0.0012169680111266956,0.0011043331931006595
2017-09-20,-0.0007524454477050302,-0.0006828807059935382
2017-09-21,-0.0017377201112142027,-0.0015769554247266893
2017-09-22,0.0016827202042473122,0.0015267979361903716
2017-09-25,0.0013323292591091995,0.0012090627135574739
2017-09-26,-5.785028346649845e-05,-5.250446287941024e-05
2017-09-27,-0.0007520971940988552,-0.0006825938566552558
2017-09-28,0.0011579434923576493,0.0010508617065994041
2017-09-29,-0.0008096229470275773,-0.0007348309888726146
2017-10-10,-0.0029517305243661474,-0.002678852820674371
2017-10-11,-0.0005804841237592173,-0.0005266761468373238
2017-10-12,-0.003136434918975528,-0.0028455498761660314
2017-10-13,0.0,0.0
2017-10-16,-0.003495892326516259,-0.0031707445965226677
2017-10-17,-0.003742033561363378,-0.003392885543126667
2017-10-18,0.0005282000117377006,0.0004787488696207376
2017-10-19,0.0015837634913185017,0.0014355593364525632
2017-10-20,-0.0011127379209370236,-0.001008760286700272
2017-10-23,0.0009380863039398779,0.0008503401360544505
2017-10-24,-0.0001757263355202099,-0.00015930331350888505
2017-10-25,-0.006678774386314257,-0.006054490413723412
2017-10-26,0.0023002064287820367,0.0020838899278652345
2017-10-27,-0.0058255855007648405,-0.005278873840247278
2017-10-30,-0.008464042616158629,-0.0076655052264809065
2017-10-31,0.0014326647564470996,0.0012964563526360884
2017-11-01,0.0030400572246065405,0.0027514026758739263
2017-11-02,-0.0012479942948833145,-0.0011298219185452707
2017-11-03,0.000892538379150265,0.0008079284713993218
2017-11-06,0.001902383924855755,0.0017221893331897942
2017-11-07,-0.00433157301370668,-0.003921990006984344
2017-11-08,0.0017878426698449967,0.0016181229773462036
2017-11-09,-0.001487209994051164,-0.001238556812062419
2017-11-10,-0.000655347036044196,-0.000485253679840425
2017-11-13,-0.007452009061643006,-0.006095587442010997
2017-11-14,0.0038440747192023395,0.0034735413839890317
2017-11-15,-0.00017950098725527663,-0.00016225864027241688
2017-11-16,0.003530819868342139,0.0031916044574271663
2017-11-17,-0.00035780308903332614,-0.0003235373416015097
2017-11-20,-0.001073793473721718,-0.0009709261556717363
2017-11-21,-0.0005971931919975804,-0.0005399276496949046
2017-11-22,-0.0060352554526442725,-0.0054562152233808
2017-11-23,0.0006612961404353079,0.0005975013579577748
2017-11-24,0.0045058576148993,0.004071440204114873
2017-11-27,-0.0007177033492823393,-0.000648788927335664
2017-11-28,-0.0014364376346660546,-0.001298420255355981
2017-11-29,0.008091584751858116,0.007313109425785447
2017-11-30,0.0007729353707117692,0.000699112664694912
2017-12-01,-0.0007129277566539916,-0.0006448839208942347
2017-12-04,0.0001189060642090567,0.00010755001075479775
2017-12-05,-0.0004755677089525179,-0.00043015377997623894
2017-12-06,0.00041631973355538143,0.00037654653039265185
2017-12-07,-0.00112954045538316,-0.0010216701618540602
2017-12-08,-0.0025592191405785503,-0.002314565615243902
2017-12-11,-0.002327107822662322,-0.002104127326679195
2017-12-12,-0.0010167464114833047,-0.0009191176470588758
2017-12-13,0.0005986948452374463,0.0005411548243952069
2017-12-14,0.0022138455094835585,0.002001189896695399
2017-12-15,0.0032835820895522616,0.0029688006045558435
2017-12-18,-0.000535554894376733,-0.00048436574995969206
2017-12-19,-0.00047630388187669404,-0.0004307559767392499
2017-12-20,0.000655229926137757,0.0005925447101917669
2017-12-21,0.0002381094112744453,0.0002153432032301339
2017-12-22,0.0038683568410402547,0.0034985736584316474
2017-12-25,-0.0016599478302110615,-0.0015018236429951148
2017-12-26,-0.001662707838479771,-0.001504082509669158
2017-12-27,0.0005948132286461849,0.0005379814934365346
2017-12-28,0.0011889192723815167,0.0010753844499409304
2017-12-29,0.0008906305664411196,0.0008056719303899396
2018-01-02,-0.006228866346325024,-0.005635163419739242
2018-01-03,-5.969436485186996e-05,-5.397236614845813e-05
2018-01-04,-0.0020297295683839867,-0.0018351594969504559
2018-01-05,-0.00017945803672902993,-0.00016222354404371586
2018-01-08,0.0024530333851859876,0.002217414818820984
2018-01-09,-0.00011936735302897628,-0.0001079272570287948
2018-01-10,-0.003641138900495333,-0.0032921366506556415
2018-01-11,-0.0025161754133717906,-0.002274204028590132
2018-01-12,0.001741741741741798,0.0015738630196462378
2018-01-15,-0.002817914743090122,-0.002546735302086156
2018-01-16,-0.0008417508417509767,-0.0007605388961321458
2018-01-17,-0.002647731375616802,-0.002392084375339776
2018-01-18,-0.0030771087245081707,-0.0027792915531335005
2018-01-19,0.00012104339405660802,0.00010929558992289756
2018-01-22,0.003449319213313373,0.0031145839025190636
2018-01-23,-0.0004221444940297747,-0.00038130515306689095
2018-01-24,0.00018099547511307712,0.0001634788294915257
2018-01-25,0.0013873808662083764,0.0012531328320803947
2018-01-26,0.00024094934040119753,0.00021766338357731563
2018-01-29,-0.0004817825956038302,-0.00043523203307771485
2018-01-30,-0.0009640296439115126,-0.0008708430849616589
2018-01-31,0.001869609794342919,0.001688729095168151
2018-02-01,0.0022875030098723492,0.0020665651511855287
2018-02-02,-0.0019219219219218653,-0.0017366764354715958
2018-02-05,-0.0025875556625346574,-0.002337718821354806
2018-02-06,0.004102564102564044,0.0037055201351425815
2018-02-07,-0.00012017064231217844,-5.429176393934032e-05
2018-02-08,-0.003845922720990269,-0.0034748615484853085
2018-02-09,0.002955902756831552,0.0030511060259343914
2018-02-12,0.0007217610970768895,0.0008690928843020362
2018-02-13,-0.0013222743118163072,-0.001193965049386736
2018-02-14,-0.000962927298988947,-0.0008693762225603363
2018-02-22,-0.0028915662650601526,-0.0026103980857080655
2018-02-23,0.0011478975350409648,0.0010359869138494293
2018-02-26,0.0061553316034035355,0.005555858162209271
2018-02-27,0.004258381814910228,0.0038459455067438864
2018-02-28,-0.00017916865742950705,-0.0001618821497949563
2018-03-01,0.0001194671763933286,0.00010793890657900818
2018-03-02,-0.00023890581138386047,-0.00021585451405747857
2018-03-05,-5.9740725252499516e-05,-5.3975279322160397e-05
2018-03-06,0.004301589198231648,0.003886429882327569
2018-03-07,-0.0002974419988100996,-0.0002688461124851216
2018-03-08,-0.0002975304968759751,-0.0002689184101544173
2018-03-09,-0.0001190476190474632,-0.00010759629868717369
2018-03-12,0.0009524943445649026,0.0008608630151727414
2018-03-13,-0.003746877601998433,-0.0033867326093969252
2018-03-14,-0.0002984896424093053,-0.00026970170990869846
2018-03-15,0.0016720410844381917,0.0015107370238480744
2018-03-16,0.00023846428997242874,0.00021549402004095164
2018-03-19,0.0010728334724043886,0.0009695141656791417
2018-03-20,0.0036318170993092647,0.003282393456736976
2018-03-21,-0.0005932253663166742,-0.000536336819522587
2018-03-22,0.002611740962782605,0.0023611483767105312
2018-03-23,0.006808359481380588,0.006156646501418672
2018-03-26,-0.0019992943666941043,-0.0018090880068106774
2018-03-27,-0.0002356823002591657,-0.0002132196162046851
2018-03-28,-0.00035360678925033806,-0.0003198976327575265
2018-03-29,-0.0008253743662303137,-0.0007466666666665622
2018-03-30,-0.0005310361104555739,-0.0004803586678052696
2018-04-02,0.00017710608654586402,0.00016019650771603722
2018-04-03,-0.00212489670641014,-0.0019220501868660866
2018-04-04,0.0009464095587365939,0.0008558895902428532
2018-04-09,0.003072922822361379,0.002779262426509943
2018-04-10,-0.003416990691646138,-0.0030913548662190315
2018-04-11,0.0026010877275952637,0.0023524379811805662
2018-04-12,0.0018867924528302993,0.0017068487305313962
2018-04-13,-0.0002354048964219313,-0.00021299254526097045
2018-04-16,0.005592182717212291,0.0050596506178099965
2018-04-17,-0.0001756131826962104,-0.00015897408722376216
2018-04-18,0.011768149882903867,0.010652957388170403
2018-04-19,-0.0026040159712978905,-0.0023598510671770656
2018-04-20,-0.0005221629148294271,-0.00047308662741796237
2018-04-23,-0.0031346142682997513,-0.0028398632658427347
2018-04-24,0.0014557735980900155,0.0013184958599230523
2018-04-25,-0.004128387021746782,-0.003739597598230282
2018-04-26,0.0012845215157353262,0.001163098070314561
2018-04-27,-0.0021575602075922795,-0.001953846966256556
2018-05-02,-0.0012856474988311994,-0.001164021164021145
2018-05-03,0.002340550029256816,0.002118868524208173
2018-05-04,0.0021015761821365775,0.0019029495718363432
2018-05-07,-0.004252592333682803,-0.0038514297773556416
2018-05-08,-0.004329257590826696,-0.0039192839362321985
2018-05-09,-0.001762735765908574,-0.0015951507417449884
2018-05-10,0.0028253575843191214,0.0025563189007828946
2018-05-11,-0.00029347889886721656,-0.00026560424966803886
2018-05-14,5.8713010803401744e-05,5.3134962805678754e-05
2018-05-15,-0.0007632243292432506,-0.0006907178152063542
2018-05-16,0.0009400705052877711,0.0008507018290089263
2018-05-17,-0.0027588635830007036,-0.002178070548236266
2018-05-18,0.0020601565718993964,0.0024490230527602908
2018-05-21,0.002702067669172914,0.001646396516012505
2018-05-22,0.004217926186291798,0.003817603393425184
2018-05-23,0.0001166725002916813,0.00010564124234102579
2018-05-24,-0.001108259449369986,-0.0010034857927537777
2018-05-25,0.005956204379562013,0.005392545598731147
2018-05-28,-0.00226388808266087,-0.002050796655623799
2018-05-29,0.0019781242727483495,0.0017915481083359275
2018-05-30,0.0010451747764488317,0.0009467704607617478
2018-05-31,-0.004292343387471087,-0.0038885969521808006
2018-06-01,0.00099032972154256,0.0008968136737708132
2018-06-04,-0.002618867485305154,-0.0023717914931744577
2018-06-05,-0.0012836970474967568,-0.0011622992392222864
2018-06-06,-0.00011684973124570508,-0.0001057865227970245
2018-06-07,-0.0007011803202057187,-0.0006347862886162403
2018-06-08,0.0028651619693602637,0.002593690450984676
2018-06-11,0.0,0.0
2018-06-12,-0.004139700309019889,-0.00374848212871548
2018-06-13,0.003278688524590123,0.0029676735559087675
2018-06-14,0.0035014005602242992,0.003170241995139156
2018-06-15,0.0020353570597813064,0.0018434636047612862
2018-06-19,0.004236550403342809,0.0038378634141211787
2018-06-20,-0.00491215903837261,-0.0044516602073949585
2018-06-21,0.004065276729194434,0.0036824662002208353
2018-06-22,0.0019087280930072392,0.0017296504009645108
2018-06-25,-0.003001962821845061,-0.002720803683549655
2018-06-26,0.0006948465547191862,0.00031479538300116516
2018-06-27,0.002314546927439043,0.0024126717717403157
2018-06-28,0.0017896316822538783,0.0016220175805776726
2018-06-29,0.0018440615455539433,0.0016716293161991302
2018-07-02,0.002473396606269773,0.002242503259452411
2018-07-03,-0.0029263254532936323,-0.002653762098033141
2018-07-04,-0.0007481153248546368,-0.0006782490739291047
2018-07-05,0.0006910850034553828,0.0006265009919599329
2018-07-06,-0.002589779005524817,-0.002347907753313061
2018-07-09,-0.001442501875252411,-0.0013074629987971376
2018-07-10,0.000693401132555227,0.0006284038542103687
2018-07-11,0.0033491165261576583,0.0030353778522083097
2018-07-12,-0.0009208103130754486,-0.0008348116456224908
2018-07-13,0.00236175115207371,0.0021409921671018406
2018-07-16,0.0016665708867305007,0.001511125006513403
2018-07-17,-0.0002868617326448053,-0.0002601456815816139
2018-07-18,0.00011477761836431455,0.00010408534998695984
2018-07-19,0.0035003156022264115,0.003174272779310039
2018-07-20,-0.008977584629460189,-0.00814399834007673
2018-07-23,0.0005193006750909834,0.0004706866795669562
2018-07-24,-0.0041522491349480495,-0.0037637219027705227
2018-07-25,0.0014477646513781917,0.001311785077132921
2018-07-26,0.0009252298617936638,0.0008384425928837924
2018-07-27,0.0006355075394302023,0.0005759463846273238
2018-07-30,-0.000346420323325658,-0.0003139717425432176
2018-07-31,0.004389511378075639,0.003978224455611468
2018-08-01,0.0023001725129383477,0.002085505735140547
2018-08-02,-0.0013769363166952209,-0.001248699271591991
2018-08-03,0.002183155233827394,0.0019795790789747247
2018-08-06,-0.0010318734235267302,-0.0009358427784132983
2018-08-07,-0.0021232640881442277,-0.0019254787676936669
2018-08-08,-0.0031629190867789037,-0.0028677199019759847
2018-08-09,-0.0029998846198223683,-0.0027190964233424486
2018-08-10,0.00028931836592982485,0.00026216442953019836
2018-08-13,-0.0029501937872390416,-0.0026733763170311287
2018-08-14,0.002552796472499619,0.002049826553137901
2018-08-15,-0.002951388888889017,-0.002202989771833308
2018-08-16,-0.00435312554414069,-0.004625979077958253
2018-08-17,-0.002215226769266665,-0.002006865592817486
2018-08-20,0.0012269221780789596,0.0011112875059533511
2018-08-21,5.835327070080609e-05,5.285971032864545e-05
2018-08-22,0.0018088458396545715,0.0016385644061525095
2018-08-23,5.8244510454885656e-05,5.277044854867796e-05
2018-08-24,-0.0012813046010483609,-0.00116088860746133
2018-08-27,-0.0002915791929086753,-0.00026414496275550814
2018-08-28,0.002274981041824553,0.002060875079264335
2018-08-29,0.00029100221161693085,0.00026367136001703706
2018-08-30,0.002385523942514567,0.002161535217207966
2018-08-31,0.0008706756442999897,0.0007890999000472743
2018-09-03,-0.002261787391985237,-0.0020500420521447626
2018-09-04,-0.0015112764473377283,-0.0013695022386094324
2018-09-05,-0.0012224938875305957,-0.001107653357244609
2018-09-06,0.0006411377280410857,0.0005808427500264557
2018-09-07,-0.0006989748369059523,-0.0006332788009921764
2018-09-10,-0.0030892982047097117,-0.0027987537624756254
2018-09-11,-0.0032158100917968335,-0.00291251853420893
2018-09-12,0.0022290004692633314,0.0020181634712410634
2018-09-13,0.0004096921456164804,0.0003710181798908252
2018-09-14,0.0013455800620136849,0.0012186076083500197
2018-09-17,0.0007595232530965834,0.0006879398846377782
2018-09-18,-0.0018681767762274148,-0.0016922263352723288
2018-09-19,-0.0019301631865240587,-0.001748066532471726
2018-09-20,-0.0033403656821378025,-0.003024674980100839
2018-09-21,0.0028811665784678198,0.002608047690014992
2018-09-25,0.00029315196998114246,0.00026543504804354967
2018-09-26,0.0029306605708927513,0.002653646109754826
2018-09-27,0.0030974227105371455,0.0028054202837179965
2018-09-28,0.0006991377301328594,0.0006334125098970134
2018-10-08,-0.001280857009781089,-0.0011605211795114867
2018-10-09,0.001107613384633277,0.0010034327964087986
2018-10-10,0.00040761660746535533,0.00036931518413019226
2018-10-11,0.004190919674039506,0.0037972680765783196
